#, TTO, Mark,   Time,   Alt Ft, hPa, Dif Ft,  H Ft, L Ft, inHg, Temp, Tcpu, Vbat, VbatAv, Wind mps, Wind mph, Wind Ave, Wind Max, AflowMin, Wind Error
1, 00:04:58, 0, 12:03:46,  -0.2, 1013.274, -0.2, 0.0, -0.2, 29.92173, 76.29, 87.59, 4.13, 4.13, 0.0353, 0.0789, 0.0789, 0.0789, 0.0789, 0
2, 00:04:59, 0, 12:03:48,  0.3, 1013.253, 0.3, 0.3, -0.2, 29.92170, 76.30, 85.91, 4.14, 4.13, 0.1814, 0.4057, 0.2423, 0.4057, 0.0789, 0
3, 00:05:00, 0, 12:03:49,  0.5, 1013.248, 0.5, 0.5, -0.2, 29.92168, 76.33, 87.59, 4.12, 4.13, 0.0428, 0.0958, 0.1935, 0.4057, 0.0789, 0
4, 00:05:01, 0, 12:03:50,  0.4, 1013.250, 0.4, 0.5, -0.2, 29.92168, 76.33, 83.38, 4.13, 4.13, 0.0831, 0.1859, 0.1916, 0.4057, 0.0789, 0
5, 00:05:02, 0, 12:03:51,  0.5, 1013.249, 0.5, 0.5, -0.2, 29.92169, 76.34, 87.59, 4.11, 4.13, 0.0227, 0.0507, 0.1634, 0.4057, 0.0507, 0
6, 00:05:03, 0, 12:03:52,  0.5, 1013.249, 0.5, 0.5, -0.2, 29.92168, 76.33, 84.22, 4.18, 4.13, 0.0353, 0.0789, 0.1493, 0.4057, 0.0507, 0
7, 00:05:04, 0, 12:03:53,  0.3, 1013.255, 0.3, 0.5, -0.2, 29.92168, 76.34, 87.59, 4.13, 4.13, 0.0277, 0.0620, 0.1368, 0.4057, 0.0507, 0
8, 00:05:05, 0, 12:03:54,  0.3, 1013.253, 0.3, 0.5, -0.2, 29.92170, 76.34, 84.22, 4.11, 4.13, 0.0378, 0.0845, 0.1303, 0.4057, 0.0507, 0
9, 00:05:06, 0, 12:03:55,  0.2, 1013.260, 0.2, 0.5, -0.2, 29.92174, 76.36, 84.22, 4.12, 4.13, 0.0378, 0.0845, 0.1252, 0.4057, 0.0507, 0
10, 00:05:07, 0, 12:03:56,  0.1, 1013.264, 0.1, 0.5, -0.2, 29.92175, 76.38, 84.22, 4.13, 4.13, 0.0378, 0.0845, 0.1211, 0.4057, 0.0507, 0
11, 00:05:08, 0, 12:03:57,  0.1, 1013.262, 0.1, 0.5, -0.2, 29.92175, 76.39, 85.91, 4.13, 4.13, 0.0327, 0.0732, 0.1168, 0.4057, 0.0507, 0
12, 00:05:09, 0, 12:03:58,  0.3, 1013.255, 0.3, 0.5, -0.2, 29.92168, 76.40, 85.06, 4.11, 4.13, 0.0428, 0.0958, 0.1150, 0.4057, 0.0507, 0
13, 00:05:10, 0, 12:03:59,  0.4, 1013.252, 0.4, 0.5, -0.2, 29.92172, 76.40, 87.59, 4.11, 4.13, 0.0554, 0.1240, 0.1157, 0.4057, 0.0507, 0
14, 00:05:11, 0, 12:04:00,  0.3, 1013.255, 0.3, 0.5, -0.2, 29.92168, 76.42, 86.75, 4.12, 4.13, 0.0479, 0.1071, 0.1151, 0.4057, 0.0507, 0
15, 00:05:12, 0, 12:04:01,  0.3, 1013.253, 0.3, 0.5, -0.2, 29.92170, 76.42, 87.59, 4.19, 4.13, 0.0378, 0.0845, 0.1131, 0.4057, 0.0507, 0
16, 00:05:13, 0, 12:04:02,  0.3, 1013.257, 0.3, 0.5, -0.2, 29.92174, 76.43, 84.22, 4.14, 4.13, 0.0655, 0.1465, 0.1152, 0.4057, 0.0507, 0
17, 00:05:14, 0, 12:04:03,  0.5, 1013.247, 0.5, 0.5, -0.2, 29.92168, 76.44, 85.91, 4.13, 4.13, 0.3778, 0.8452, 0.1581, 0.8452, 0.0507, 0
18, 00:05:15, 0, 12:04:04,  2.1, 1013.188, 2.1, 2.1, -0.2, 29.92163, 76.45, 82.53, 4.14, 4.13, 0.0000, 0.0000, 0.1493, 0.8452, 0.0000, 0
19, 00:05:16, 0, 12:04:05,  1.1, 1013.227, 1.1, 2.1, -0.2, 29.92168, 76.45, 86.75, 4.14, 4.13, 0.0302, 0.0676, 0.1450, 0.8452, 0.0000, 0
20, 00:05:17, 0, 12:04:06,  0.7, 1013.241, 0.7, 2.1, -0.2, 29.92168, 76.46, 88.43, 4.14, 4.13, 0.0000, 0.0000, 0.1378, 0.8452, 0.0000, 0
21, 00:05:18, 0, 12:04:07,  0.5, 1013.248, 0.5, 2.1, -0.2, 29.92168, 76.47, 87.59, 4.12, 4.13, 0.0504, 0.1127, 0.1366, 0.8452, 0.0000, 0
22, 00:05:19, 0, 12:04:08,  0.9, 1013.232, 0.9, 2.1, -0.2, 29.92168, 76.48, 84.22, 4.11, 4.13, 0.0529, 0.1183, 0.1357, 0.8452, 0.0000, 0
23, 00:05:20, 0, 12:04:09,  -2.1, 1013.345, -2.1, 2.1, -2.1, 29.92180, 76.48, 84.22, 4.14, 4.13, 0.0000, 0.0000, 0.1298, 0.8452, 0.0000, 0
24, 00:05:21, 0, 12:04:10,  -0.6, 1013.286, -0.6, 2.1, -2.1, 29.92173, 76.48, 88.43, 4.12, 4.13, 0.0453, 0.1014, 0.1287, 0.8452, 0.0000, 0
25, 00:05:22, 0, 12:04:11,  -1.1, 1013.306, -1.1, 2.1, -2.1, 29.92173, 76.49, 87.59, 4.13, 4.13, 0.0000, 0.0000, 0.1235, 0.8452, 0.0000, 0
26, 00:05:23, 0, 12:04:12,  -1.1, 1013.308, -1.1, 2.1, -2.1, 29.92181, 76.51, 87.59, 4.12, 4.13, 0.0403, 0.0902, 0.1222, 0.8452, 0.0000, 0
27, 00:05:24, 0, 12:04:13,  -2.4, 1013.355, -2.4, 2.1, -2.4, 29.92181, 76.51, 84.22, 4.11, 4.13, 0.0076, 0.0169, 0.1183, 0.8452, 0.0000, 0
28, 00:05:25, 0, 12:04:14,  -4.2, 1013.422, -4.2, 2.1, -4.2, 29.92191, 76.51, 85.91, 4.18, 4.13, 0.0277, 0.0620, 0.1163, 0.8452, 0.0000, 0
29, 00:05:26, 0, 12:04:15,  -1.1, 1013.307, -1.1, 2.1, -4.2, 29.92177, 76.53, 87.59, 4.13, 4.13, 0.0202, 0.0451, 0.1139, 0.8452, 0.0000, 0
30, 00:05:27, 0, 12:04:16,  -0.8, 1013.296, -0.8, 2.1, -4.2, 29.92172, 76.52, 85.06, 4.13, 4.13, 0.0403, 0.0902, 0.1131, 0.8452, 0.0000, 0
31, 00:05:28, 0, 12:04:17,  -0.3, 1013.280, -0.3, 2.1, -4.2, 29.92178, 76.53, 85.91, 4.12, 4.13, 0.0302, 0.0676, 0.1116, 0.8452, 0.0000, 0
32, 00:05:29, 0, 12:04:18,  -1.0, 1013.301, -1.0, 2.1, -4.2, 29.92174, 76.52, 86.75, 4.13, 4.13, 0.0378, 0.0845, 0.1108, 0.8452, 0.0000, 0
33, 00:05:30, 0, 12:04:19,  -0.3, 1013.278, -0.3, 2.1, -4.2, 29.92178, 76.55, 86.75, 4.13, 4.13, 0.0327, 0.0732, 0.1096, 0.8452, 0.0000, 0
34, 00:05:31, 0, 12:04:20,  -0.2, 1013.275, -0.2, 2.1, -4.2, 29.92175, 76.56, 86.75, 4.20, 4.13, 0.0302, 0.0676, 0.1084, 0.8452, 0.0000, 0
35, 00:05:32, 0, 12:04:21,  -0.6, 1013.286, -0.6, 2.1, -4.2, 29.92171, 76.56, 84.22, 4.13, 4.13, 0.0252, 0.0563, 0.1069, 0.8452, 0.0000, 0
36, 00:05:33, 0, 12:04:22,  -0.1, 1013.272, -0.1, 2.1, -4.2, 29.92175, 76.57, 85.91, 4.12, 4.13, 0.0277, 0.0620, 0.1056, 0.8452, 0.0000, 0
37, 00:05:34, 0, 12:04:23,  -0.4, 1013.282, -0.4, 2.1, -4.2, 29.92174, 76.57, 88.43, 4.12, 4.13, 0.0353, 0.0789, 0.1049, 0.8452, 0.0000, 0
38, 00:05:35, 0, 12:04:24,  -0.5, 1013.283, -0.5, 2.1, -4.2, 29.92170, 76.58, 87.59, 4.21, 4.13, 0.0252, 0.0563, 0.1036, 0.8452, 0.0000, 0
39, 00:05:36, 0, 12:04:25,  -0.5, 1013.284, -0.5, 2.1, -4.2, 29.92173, 76.60, 87.59, 4.13, 4.13, 0.0277, 0.0620, 0.1026, 0.8452, 0.0000, 0
40, 00:05:37, 0, 12:04:26,  -0.5, 1013.283, -0.5, 2.1, -4.2, 29.92170, 76.59, 86.75, 4.12, 4.13, 0.0353, 0.0789, 0.1020, 0.8452, 0.0000, 0
41, 00:05:38, 0, 12:04:27,  -0.6, 1013.286, -0.6, 2.1, -4.2, 29.92171, 76.61, 85.91, 4.12, 4.13, 0.0252, 0.0563, 0.1009, 0.8452, 0.0000, 0
42, 00:05:39, 0, 12:04:28,  -3.7, 1013.405, -3.7, 2.1, -4.2, 29.92189, 76.61, 85.91, 4.14, 4.13, 0.2720, 0.6085, 0.1130, 0.8452, 0.0000, 0
43, 00:05:40, 0, 12:04:29,  -2.6, 1013.361, -2.6, 2.1, -4.2, 29.92183, 76.62, 87.59, 4.20, 4.13, 0.0000, 0.0000, 0.1103, 0.8452, 0.0000, 0
