#, times, sys, gyro, accel, mag, e_x, e_y, e_z, heading, compass, q_w, q_x, q_y, q_z, lin_acc_x, lin_acc_y, lin_acc_z, grav_x, grav_y, grav_z, r_mag_x, r_mag_y, r_mag_z, temp 
1, 12:03:46, 3, 3, 3, 3, 353.250, 5.750, -97.000, -97.000000000000000000000, 263.0, -0.66150, -0.74823, 0.03235, -0.03894, -0.10000, -0.07000, 0.00000, 0.99000, 9.68000, -1.19000, -5.68750, -65.87500, -14.25000, 25.0
2, 12:03:48, 3, 3, 3, 3, 353.250, 5.750, -97.063, -97.062500000000000000000, 262.9, -0.66132, -0.74841, 0.03223, -0.03876, -0.12000, -0.14000, -0.04000, 0.98000, 9.68000, -1.20000, -6.06250, -66.18750, -13.50000, 25.0
3, 12:03:49, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66052, -0.74921, 0.03125, -0.03760, -0.10000, -0.05000, -0.03000, 0.95000, 9.68000, -1.22000, -6.37500, -65.87500, -13.87500, 24.0
4, 12:03:50, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66052, -0.74921, 0.03125, -0.03760, -0.07000, -0.03000, -0.02000, 0.95000, 9.68000, -1.22000, -6.06250, -65.87500, -12.25000, 25.0
5, 12:03:51, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66052, -0.74921, 0.03125, -0.03760, -0.07000, -0.06000, -0.06000, 0.95000, 9.68000, -1.22000, -6.06250, -64.75000, -13.50000, 25.0
6, 12:03:52, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66052, -0.74921, 0.03125, -0.03760, -0.09000, 0.01000, -0.09000, 0.95000, 9.68000, -1.22000, -6.06250, -65.50000, -12.68750, 25.0
7, 12:03:53, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.08000, -0.01000, -0.07000, 0.95000, 9.68000, -1.22000, -6.06250, -64.75000, -13.50000, 25.0
8, 12:03:54, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.07000, -0.04000, -0.05000, 0.95000, 9.68000, -1.22000, -6.37500, -66.18750, -13.06250, 25.0
9, 12:03:55, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.07000, 0.00000, -0.07000, 0.95000, 9.68000, -1.22000, -5.68750, -65.87500, -12.68750, 25.0
10, 12:03:56, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.05000, -0.01000, -0.02000, 0.95000, 9.68000, -1.22000, -5.25000, -65.50000, -14.25000, 25.0
11, 12:03:57, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.07000, -0.03000, -0.04000, 0.95000, 9.68000, -1.22000, -5.25000, -65.50000, -13.06250, 25.0
12, 12:03:58, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.05000, -0.05000, -0.04000, 0.95000, 9.68000, -1.22000, -5.25000, -65.87500, -13.87500, 25.0
13, 12:03:59, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.08000, -0.03000, -0.02000, 0.95000, 9.68000, -1.22000, -6.06250, -65.50000, -13.06250, 25.0
14, 12:04:00, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.06000, -0.02000, -0.03000, 0.95000, 9.68000, -1.22000, -6.06250, -65.50000, -13.87500, 25.0
15, 12:04:01, 3, 3, 3, 3, 353.438, 5.563, -97.188, -97.187500000000000000000, 262.8, -0.66046, -0.74927, 0.03125, -0.03760, -0.08000, -0.01000, -0.07000, 0.95000, 9.68000, -1.22000, -6.06250, -65.06250, -13.87500, 25.0
16, 12:04:02, 3, 3, 3, 3, 353.500, 5.500, -97.188, -97.187500000000000000000, 262.8, -0.66034, -0.74939, 0.03101, -0.03717, -0.09000, 0.19000, -0.14000, 0.94000, 9.68000, -1.22000, -6.06250, -65.87500, -13.06250, 25.0
17, 12:04:03, 3, 3, 3, 3, 348.750, -1.000, -118.000, -118.000000000000000000000, 242.0, -0.51257, -0.85120, -0.10126, -0.05042, 1.99000, 2.76000, -0.68000, -0.18000, 8.61000, -4.68000, 6.37500, -61.06250, 3.18750, 25.0
18, 12:04:04, 1, 3, 3, 3, 146.813, 55.375, -163.625, -163.625000000000000000000, 196.4, 0.13623, -0.77893, -0.40698, -0.45728, -0.07000, -0.85000, -1.79000, 8.13000, 1.54000, -5.25000, -25.37500, -19.06250, 38.37500, 25.0
19, 12:04:05, 2, 3, 3, 3, 147.563, 77.438, -166.688, -166.687500000000000000000, 193.3, 0.17529, -0.73511, -0.25488, -0.60327, -1.60000, -0.34000, -2.38000, 9.55000, 0.60000, -2.10000, -46.56250, -18.75000, 22.87500, 25.0
20, 12:04:06, 2, 3, 3, 3, 122.750, 80.688, 166.875, 166.875000000000000000000, 166.9, 0.30457, -0.68445, -0.33203, -0.57318, -0.02000, 8.07000, 1.86000, 9.67000, -0.35000, -1.54000, -48.00000, -9.18750, 25.56250, 25.0
21, 12:04:07, 3, 3, 3, 3, 168.063, 73.250, -149.813, -149.812500000000000000000, 210.2, 0.06348, -0.76495, -0.19812, -0.60956, 2.59000, -0.86000, -1.18000, 9.39000, 1.41000, -2.42000, -43.37500, -25.68750, 19.25000, 25.0
22, 12:04:08, 3, 3, 3, 3, 113.813, 79.563, -151.000, -151.000000000000000000000, 209.0, 0.35742, -0.59583, -0.47180, -0.54279, -3.90000, 0.80000, 0.17000, 9.65000, 0.84000, -1.52000, -45.18750, -10.50000, 27.25000, 25.0
23, 12:04:09, 0, 3, 3, 3, 130.125, 81.688, -130.688, -130.687500000000000000000, 229.3, 0.28375, -0.63232, -0.38367, -0.61029, 2.32000, 0.51000, -1.54000, 9.70000, 1.09000, -0.90000, -50.50000, -27.06250, 27.25000, 25.0
24, 12:04:10, 1, 3, 3, 3, 135.750, 83.813, -5.750, -5.750000000000000000000, 354.3, 0.27094, -0.61328, -0.32483, -0.66705, 0.39000, -0.77000, 0.16000, 9.75000, 0.98000, 0.36000, -50.37500, -29.25000, 20.37500, 25.0
25, 12:04:11, 2, 3, 3, 3, 163.813, 84.375, -5.500, -5.500000000000000000000, 354.5, 0.10168, -0.68207, -0.16724, -0.70459, -0.60000, -0.62000, -1.52000, 9.75000, 0.95000, 0.13000, -52.56250, -37.56250, 6.75000, 25.0
26, 12:04:12, 2, 3, 3, 3, 168.938, 82.125, -78.250, -78.250000000000000000000, 281.8, 0.06897, -0.67871, -0.15955, -0.71356, -0.30000, 0.75000, -0.68000, 9.71000, 1.31000, 0.27000, -54.37500, -41.18750, 6.37500, 25.0
27, 12:04:13, 1, 3, 3, 3, 219.688, 83.438, -173.563, -173.562500000000000000000, 186.4, -0.24274, -0.69348, 0.17169, -0.65625, -0.98000, -0.90000, 0.48000, 9.74000, 1.09000, -0.20000, -54.37500, -30.75000, -16.37500, 25.0
28, 12:04:14, 3, 3, 3, 3, 200.313, 80.000, -107.750, -107.750000000000000000000, 252.3, -0.12152, -0.72546, 0.00861, -0.67737, 0.30000, 0.63000, 1.25000, 9.66000, 1.59000, -0.51000, -46.00000, -34.06250, -3.56250, 25.0
29, 12:04:15, 1, 3, 3, 3, 190.313, 79.438, -85.563, -85.562500000000000000000, 274.4, -0.06421, -0.69910, -0.06537, -0.70911, -0.35000, 0.02000, 0.08000, 9.64000, 1.79000, 0.13000, -46.06250, -38.75000, -6.00000, 25.0
30, 12:04:16, 1, 3, 3, 3, 190.688, 79.125, -87.313, -87.312500000000000000000, 272.7, -0.06628, -0.70081, -0.06714, -0.70709, -0.30000, 0.21000, 0.40000, 9.63000, 1.84000, 0.08000, -46.06250, -38.06250, -4.87500, 25.0
31, 12:04:17, 1, 3, 3, 3, 191.313, 78.938, -93.313, -93.312500000000000000000, 266.7, -0.06946, -0.70795, -0.06628, -0.69971, -0.19000, -0.24000, -0.26000, 9.62000, 1.87000, -0.11000, -46.06250, -37.75000, -5.68750, 25.0
32, 12:04:18, 1, 3, 3, 3, 191.375, 78.813, -96.938, -96.937500000000000000000, 263.1, -0.06940, -0.71222, -0.06653, -0.69531, -0.12000, 0.24000, -0.04000, 9.62000, 1.87000, -0.22000, -46.87500, -36.25000, -5.25000, 25.0
33, 12:04:19, 1, 3, 3, 3, 191.625, 79.063, -91.000, -91.000000000000000000000, 269.0, -0.07166, -0.70551, -0.06293, -0.70227, 0.00000, -0.05000, -0.28000, 9.62000, 1.85000, -0.03000, -47.25000, -37.37500, -6.50000, 25.0
34, 12:04:20, 1, 3, 3, 3, 191.438, 79.750, -89.375, -89.375000000000000000000, 270.6, -0.07080, -0.70416, -0.05530, -0.70435, -0.10000, 0.04000, -0.27000, 9.65000, 1.74000, 0.02000, -46.87500, -37.00000, -5.25000, 25.0
35, 12:04:21, 1, 3, 3, 3, 194.438, 77.750, -86.813, -86.812500000000000000000, 273.2, -0.08954, -0.70032, -0.06079, -0.70557, -0.01000, -0.27000, 0.00000, 9.58000, 2.07000, 0.11000, -47.25000, -39.18750, -8.87500, 25.0
36, 12:04:22, 0, 3, 3, 3, 194.563, 77.625, -87.750, -87.750000000000000000000, 272.3, -0.09015, -0.70142, -0.06195, -0.70428, -0.05000, -0.13000, 0.00000, 9.57000, 2.09000, 0.08000, -47.25000, -39.56250, -8.50000, 25.0
37, 12:04:23, 0, 3, 3, 3, 195.063, 77.625, -85.188, -85.187500000000000000000, 274.8, -0.09381, -0.69824, -0.05786, -0.70734, -0.11000, 0.14000, 0.32000, 9.58000, 2.08000, 0.17000, -47.25000, -39.56250, -8.50000, 25.0
38, 12:04:24, 0, 3, 3, 3, 198.000, 75.813, -85.438, -85.437500000000000000000, 274.6, -0.11194, -0.69739, -0.06244, -0.70514, -0.06000, -0.12000, 0.13000, 9.50000, 2.39000, 0.19000, -47.87500, -42.00000, -10.25000, 25.0
