#, TTO, Time, Mark, Alt, Alt>GND, Wind, WindMax, WindErr, 10sAve, 10sGust,10sLull, 10sTurb, 10sRofC, 10sJerk, 2mAve, 2mG, 2mL, 2mT, 10mAve, 10mG, 10mL, 10mT
1, 00:04:58, 12:03:46, 0, -0.2, -0.2, 0.1, 0.1, 0, 0.1, 0.1, 0.1, 0.0, +0.00, +0.00, 0.1, 0.1, 0.1, 0.0, 0.1, 0.1, 0.1, 0.0
2, 00:04:59, 12:03:48, 0,  0.3,  0.3, 0.4, 0.4, 0, 0.2, 0.4, 0.1, 0.3, +0.33, +0.33, 0.2, 0.4, 0.1, 0.3, 0.2, 0.4, 0.1, 0.3
3, 00:05:00, 12:03:49, 0,  0.5,  0.5, 0.1, 0.4, 0, 0.2, 0.4, 0.1, 0.3, -0.31, -0.64, 0.2, 0.4, 0.1, 0.3, 0.2, 0.4, 0.1, 0.3
4, 00:05:01, 12:03:50, 0,  0.4,  0.4, 0.2, 0.4, 0, 0.2, 0.4, 0.1, 0.3, +0.09, +0.40, 0.2, 0.4, 0.1, 0.3, 0.2, 0.4, 0.1, 0.3
5, 00:05:02, 12:03:51, 0,  0.5,  0.5, 0.1, 0.4, 0, 0.2, 0.4, 0.1, 0.4, -0.14, -0.23, 0.2, 0.4, 0.1, 0.4, 0.2, 0.4, 0.1, 0.4
6, 00:05:03, 12:03:52, 0,  0.5,  0.5, 0.1, 0.4, 0, 0.1, 0.4, 0.1, 0.4, +0.03, +0.16, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
7, 00:05:04, 12:03:53, 0,  0.3,  0.3, 0.1, 0.4, 0, 0.1, 0.4, 0.1, 0.4, -0.02, -0.05, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
8, 00:05:05, 12:03:54, 0,  0.3,  0.3, 0.1, 0.4, 0, 0.1, 0.4, 0.1, 0.4, +0.02, +0.04, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
9, 00:05:06, 12:03:55, 0,  0.2,  0.2, 0.1, 0.4, 0, 0.1, 0.4, 0.1, 0.4, +0.00, -0.02, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
10, 00:05:07, 12:03:56, 0,  0.1,  0.1, 0.1, 0.4, 0, 0.1, 0.4, 0.1, 0.4, +0.00, +0.00, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
11, 00:05:08, 12:03:57, 0,  0.1,  0.1, 0.1, 0.4, 0, 0.1, 0.4, 0.1, 0.4, -0.01, -0.01, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
12, 00:05:09, 12:03:58, 0,  0.3,  0.3, 0.1, 0.4, 0, 0.1, 0.2, 0.1, 0.1, +0.02, +0.03, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
13, 00:05:10, 12:03:59, 0,  0.4,  0.4, 0.1, 0.4, 0, 0.1, 0.2, 0.1, 0.1, +0.03, +0.01, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
14, 00:05:11, 12:04:00, 0,  0.3,  0.3, 0.1, 0.4, 0, 0.1, 0.1, 0.1, 0.1, -0.02, -0.05, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
15, 00:05:12, 12:04:01, 0,  0.3,  0.3, 0.1, 0.4, 0, 0.1, 0.1, 0.1, 0.1, -0.02, -0.01, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
16, 00:05:13, 12:04:02, 0,  0.3,  0.3, 0.1, 0.4, 0, 0.1, 0.1, 0.1, 0.1, +0.06, +0.08, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4, 0.1, 0.4
17, 00:05:14, 12:04:03, 0,  0.5,  0.5, 0.8, 0.8, 0, 0.2, 0.8, 0.1, 0.8, +0.70, +0.64, 0.2, 0.8, 0.1, 0.8, 0.2, 0.8, 0.1, 0.8
18, 00:05:15, 12:04:04, 0,  2.1,  2.1, 0.0, 0.8, 0, 0.2, 0.8, 0.0, 0.8, -0.85, -1.54, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
19, 00:05:16, 12:04:05, 0,  1.1,  1.1, 0.1, 0.8, 0, 0.2, 0.8, 0.0, 0.8, +0.07, +0.91, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
20, 00:05:17, 12:04:06, 0,  0.7,  0.7, 0.0, 0.8, 0, 0.2, 0.8, 0.0, 0.8, -0.07, -0.14, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
21, 00:05:18, 12:04:07, 0,  0.5,  0.5, 0.1, 0.8, 0, 0.2, 0.8, 0.0, 0.8, +0.11, +0.18, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
22, 00:05:19, 12:04:08, 0,  0.9,  0.9, 0.1, 0.8, 0, 0.2, 0.8, 0.0, 0.8, +0.01, -0.11, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
23, 00:05:20, 12:04:09, 0, -2.1, -2.1, 0.0, 0.8, 0, 0.1, 0.8, 0.0, 0.8, -0.12, -0.12, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
24, 00:05:21, 12:04:10, 0, -0.6, -0.6, 0.1, 0.8, 0, 0.1, 0.8, 0.0, 0.8, +0.10, +0.22, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
25, 00:05:22, 12:04:11, 0, -1.1, -1.1, 0.0, 0.8, 0, 0.1, 0.8, 0.0, 0.8, -0.10, -0.20, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
26, 00:05:23, 12:04:12, 0, -1.1, -1.1, 0.1, 0.8, 0, 0.1, 0.8, 0.0, 0.8, +0.09, +0.19, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
27, 00:05:24, 12:04:13, 0, -2.4, -2.4, 0.0, 0.8, 0, 0.1, 0.1, 0.0, 0.1, -0.07, -0.16, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
28, 00:05:25, 12:04:14, 0, -4.2, -4.2, 0.1, 0.8, 0, 0.1, 0.1, 0.0, 0.1, +0.05, +0.12, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
29, 00:05:26, 12:04:15, 0, -1.1, -1.1, 0.0, 0.8, 0, 0.1, 0.1, 0.0, 0.1, -0.02, -0.06, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
30, 00:05:27, 12:04:16, 0, -0.8, -0.8, 0.1, 0.8, 0, 0.1, 0.1, 0.0, 0.1, +0.05, +0.06, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
31, 00:05:28, 12:04:17, 0, -0.3, -0.3, 0.1, 0.8, 0, 0.1, 0.1, 0.0, 0.1, -0.02, -0.07, 0.1, 0.8, 0.0, 0.8, 0.1, 0.8, 0.0, 0.8
